temperature,pH,salinity,turbidity,water_type,species
31.05,7.68,15.1,36.75,High Salinity,Milkfish
27.04,7.81,18.05,49.56,High Salinity,Tiger Shrimp
28.4,7.86,25.35,33.36,High Salinity,Whiteleg Shrimp
28.63,6.41,0.0,20.27,Freshwater,Tilapia
30.29,7.8,24.57,53.18,High Salinity,Tiger Shrimp
28.73,7.84,1.19,23.58,Freshwater,Catfish
25.57,7.52,31.81,33.5,High Salinity,Milkfish
28.88,8.01,14.03,40.32,Brackish,Whiteleg Shrimp
26.98,8.12,33.25,25.66,High Salinity,Milkfish
28.83,6.46,4.52,39.22,Freshwater,Catfish
27.09,8.01,19.31,44.88,High Salinity,Tiger Shrimp
32.52,7.4,3.81,33.97,Freshwater,Catfish
27.88,7.34,4.1,18.9,Freshwater,Tilapia
30.31,7.04,0.0,19.45,Freshwater,Catfish
31.37,7.47,16.55,24.38,High Salinity,Whiteleg Shrimp
26.07,6.66,4.38,37.59,Freshwater,Catfish
26.61,7.08,5.2,16.53,Brackish,Tilapia
24.14,7.81,4.59,8.22,Freshwater,Tilapia
28.62,8.26,27.47,43.41,High Salinity,Milkfish
28.72,6.51,3.69,16.14,Freshwater,Tilapia
32.03,7.69,20.66,39.93,High Salinity,Whiteleg Shrimp
28.57,8.16,16.5,42.54,High Salinity,Milkfish
26.86,8.25,1.33,21.83,Freshwater,Tilapia
28.22,7.87,19.41,26.71,High Salinity,Milkfish
27.76,7.27,4.59,20.25,Freshwater,Catfish
30.7,8.03,21.99,53.65,High Salinity,Tiger Shrimp
28.59,8.28,26.97,53.79,High Salinity,Tiger Shrimp
26.92,7.24,11.68,32.7,Brackish,Milkfish
30.85,6.76,2.64,16.97,Freshwater,Catfish
31.43,7.69,18.12,47.46,High Salinity,Tiger Shrimp
30.77,7.63,17.21,37.34,High Salinity,Whiteleg Shrimp
30.24,7.82,1.45,16.4,Freshwater,Catfish
28.46,8.3,11.87,36.98,Brackish,Milkfish
31.87,7.61,32.33,38.56,High Salinity,Milkfish
30.71,7.59,3.88,19.86,Freshwater,Catfish
26.95,7.91,5.4,24.31,Brackish,Catfish
28.01,7.85,23.09,27.67,High Salinity,Tiger Shrimp
29.27,8.63,15.53,27.6,High Salinity,Whiteleg Shrimp
31.56,8.21,21.04,28.14,High Salinity,Whiteleg Shrimp
26.55,7.11,2.86,10.01,Freshwater,Tilapia
30.85,6.96,1.36,29.11,Freshwater,Catfish
24.37,7.0,0.0,32.24,Freshwater,Tilapia
29.14,7.88,10.17,46.08,Brackish,Milkfish
30.84,7.62,4.39,21.14,Freshwater,Catfish
27.65,8.09,25.21,39.13,High Salinity,Tiger Shrimp
27.34,7.72,1.75,15.17,Freshwater,Tilapia
29.59,7.8,3.94,18.07,Freshwater,Catfish
25.89,8.47,3.41,29.45,Freshwater,Tilapia
28.86,6.52,0.48,21.43,Freshwater,Catfish
24.14,8.15,1.52,7.98,Freshwater,Tilapia
27.2,6.77,3.04,33.79,Freshwater,Tilapia
27.06,7.66,23.16,35.27,High Salinity,Tiger Shrimp
30.61,6.99,35.36,28.29,High Salinity,Milkfish
26.04,7.75,3.2,32.23,Freshwater,Catfish
29.01,7.54,14.78,20.47,Brackish,Whiteleg Shrimp
29.28,8.11,18.24,29.0,High Salinity,Tiger Shrimp
27.35,8.06,21.45,50.65,High Salinity,Whiteleg Shrimp
31.87,7.77,15.91,28.53,High Salinity,Tiger Shrimp
27.71,8.16,20.57,40.59,High Salinity,Whiteleg Shrimp
31.75,7.06,32.34,37.54,High Salinity,Milkfish
31.12,8.32,31.21,23.88,High Salinity,Milkfish
29.73,7.64,21.99,29.02,High Salinity,Milkfish
31.5,8.17,27.29,35.89,High Salinity,Tiger Shrimp
30.55,7.43,18.53,21.04,High Salinity,Whiteleg Shrimp
29.77,7.67,19.12,32.32,High Salinity,Whiteleg Shrimp
23.92,6.9,5.06,30.09,Brackish,Tilapia
27.98,7.77,28.97,47.12,High Salinity,Tiger Shrimp
30.03,7.81,5.89,26.49,Brackish,Catfish
29.17,8.14,29.73,52.42,High Salinity,Tiger Shrimp
27.63,8.19,4.32,15.0,Freshwater,Tilapia
28.79,6.99,26.97,35.4,High Salinity,Milkfish
29.65,6.9,1.13,14.0,Freshwater,Catfish
30.77,7.71,3.74,23.87,Freshwater,Catfish
29.88,8.52,31.87,38.63,High Salinity,Tiger Shrimp
29.07,8.34,13.96,36.29,Brackish,Tiger Shrimp
27.62,8.58,2.75,20.92,Freshwater,Tilapia
28.83,7.73,3.21,35.67,Freshwater,Catfish
30.5,8.46,17.46,36.87,High Salinity,Whiteleg Shrimp
29.98,7.68,2.88,24.18,Freshwater,Tilapia
27.85,6.88,4.97,36.08,Freshwater,Catfish
30.75,7.71,3.67,27.94,Freshwater,Catfish
31.95,7.71,3.03,30.1,Freshwater,Catfish
28.51,7.96,27.06,53.81,High Salinity,Tiger Shrimp
29.7,7.77,15.57,17.02,High Salinity,Whiteleg Shrimp
30.14,8.04,22.45,39.79,High Salinity,Tiger Shrimp
31.26,7.02,2.34,22.72,Freshwater,Catfish
31.06,7.71,19.44,30.78,High Salinity,Whiteleg Shrimp
29.51,8.0,24.46,46.61,High Salinity,Whiteleg Shrimp
28.86,7.05,0.0,30.93,Freshwater,Catfish
27.49,6.85,28.32,34.31,High Salinity,Milkfish
28.99,8.34,21.85,39.08,High Salinity,Whiteleg Shrimp
27.61,8.04,28.62,41.96,High Salinity,Tiger Shrimp
27.35,7.17,5.55,38.12,Brackish,Catfish
28.0,7.92,29.09,34.79,High Salinity,Tiger Shrimp
27.39,7.84,24.51,37.33,High Salinity,Tiger Shrimp
27.82,7.57,3.93,21.85,Freshwater,Tilapia
29.72,8.24,18.28,47.67,High Salinity,Whiteleg Shrimp
30.0,7.45,32.56,45.25,High Salinity,Milkfish
30.91,8.37,17.68,28.77,High Salinity,Tiger Shrimp
26.44,7.08,0.0,21.66,Freshwater,Tilapia
27.54,8.54,23.63,45.37,High Salinity,Tiger Shrimp
